size,run_dir,best_epoch,best_val_mse,train_mse_at_best,val_mse_at_best,test_mse,val_r2,test_r2,generalization_gap,epochs_ran
L,cnn_l_seed42_20260118_233601_seed42,39,0.028468500822782516,0.0271324691320978,0.028468500822782516,0.029461832717061043,0.6957893371582031,0.6671555638313293,0.0013360316906847157,40
M,cnn_m_seed42_20260118_214329_seed42,38,0.012247689068317413,0.013235064180163207,0.012247689068317413,0.015718214213848114,0.8659515380859375,0.816944420337677,-0.0009873751118457934,40
XL,cnn_xl_seed42_20260119_011515_seed42,38,0.022662051022052765,0.024854121881090784,0.022662051022052765,0.021657442674040794,0.7466734051704407,0.7457973957061768,-0.0021920708590380186,40
